anchor_id,anchor_name,source,anchor_type,lng,lat,merge_rule,confidence,review_status,scale_km,ctrip_lodging_count,amap_dining_count,amap_transport_count,amap_public_count,amap_shopping_count,amap_medical_count,amap_lodging_count_optional,xhs_mentions,xhs_heat_proxy,xhs_negative_rate,traffic_pain_rate,queue_pain_rate,cold_pain_rate,price_pain_rate,dp_review_count,dp_price_pressure,dp_queue_pressure,dp_service_pressure
A011,东北虎林园,XHS,POI,126.589457,45.819457,manual_whitelist,A,reviewed,1,5,68,28,6,34,12,38,59,59,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0,0.0,0.0,0.0
A012,哈尔滨站,XHS,POI,126.63269,45.761621,manual_whitelist,A,reviewed,1,335,305,349,48,274,236,389,57,57,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0,0.0,0.0,0.0
A013,伏尔加庄园,XHS,POI,126.896381,45.670668,manual_whitelist,A,reviewed,1,2,6,5,5,5,0,3,54,54,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0,0.0,0.0,0.0
A014,中东铁路桥,XHS,POI,126.626354,45.787358,manual_whitelist,A,reviewed,1,58,135,99,9,162,75,207,46,46,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0,0.0,0.0,0.0
A015,果戈里大街,XHS,POI,126.650326,45.757621,manual_whitelist,A,reviewed,1,189,521,463,53,405,326,279,43,43,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.011363636363636364,0.011363636363636364,332,0.1996996996996997,0.3948948948948949,0.0015015015015015015
A016,哈西站,XHS,POI,126.577304,45.707228,manual_whitelist,A,reviewed,1,106,130,211,24,115,21,281,32,32,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0,0.0,0.0,0.0
A017,师大夜市,XHS,POI,126.625032,45.729273,manual_whitelist,A,reviewed,1,65,221,206,21,320,240,109,30,30,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0,0.0,0.0,0.0
A018,群力,XHS,POI,126.560039,45.727206,manual_whitelist,A,reviewed,1,43,390,237,40,312,191,67,29,29,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0.0,0.0,0.0
A019,龙塔,XHS,POI,126.680189,45.748517,manual_whitelist,A,reviewed,1,56,253,398,31,225,128,94,26,26,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0,0.0,0.0,0.0
A020,哈尔滨工业大学,XHS,POI,126.633441,45.749367,manual_whitelist,A,reviewed,1,158,301,204,38,252,169,183,20,20,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0,0.0,0.0,0.0
A001,中央大街,XHS,POI,126.618916,45.774014,manual_whitelist,A,reviewed,3,1253,2232,1979,252,2198,1563,1915,501,501,0.02091633466135458,0.00099601593625498,0.0049800796812749,0.010956175298804782,0.00099601593625498,2094,0.42935560859188543,0.4026252983293556,0.00023866348448687351
A002,圣索菲亚教堂,XHS,POI,126.626028,45.76984,manual_whitelist,A,reviewed,3,1406,2594,2298,285,2582,1857,2092,321,321,0.023291925465838508,0.007763975155279503,0.013975155279503106,0.007763975155279503,0.007763975155279503,0,0.0,0.0,0.0
A003,冰雪大世界,XHS,POI,126.567694,45.778569,manual_whitelist,A,reviewed,3,33,150,256,82,134,47,96,288,288,0.015570934256055362,0.0017301038062283738,0.0017301038062283738,0.012110726643598616,0.005190311418685121,347,0.6652298850574713,0.38362068965517243,0.0014367816091954023
A004,松花江,XHS,POI,126.56,45.78,manual_whitelist,A,reviewed,3,6,61,103,59,42,11,93,245,245,0.018292682926829267,0.006097560975609756,0.01016260162601626,0.01016260162601626,0.006097560975609756,0,0.0,0.0,0.0
A005,太阳岛,XHS,POI,126.53505,45.802981,manual_whitelist,A,reviewed,3,198,1048,734,56,980,385,511,243,243,0.02663934426229508,0.0020491803278688526,0.010245901639344262,0.0020491803278688526,0.0020491803278688526,363,0.6524725274725275,0.364010989010989,0.0013736263736263737
A006,中华巴洛克风情街,XHS,POI,126.638089,45.780731,manual_whitelist,A,reviewed,3,1185,2387,1989,233,2552,1664,1807,188,188,0.018518518518518517,0.007936507936507936,0.013227513227513227,0.007936507936507936,0.007936507936507936,1058,0.1619452313503305,0.3810198300283286,0.00047214353163361664
A007,红专街早市,XHS,POI,126.614854,45.772316,manual_whitelist,A,reviewed,3,1222,2081,1904,250,2078,1413,1858,160,160,0.021739130434782608,0.003105590062111801,0.003105590062111801,0.021739130434782608,0.003105590062111801,344,0.0014492753623188406,0.43043478260869567,0.0014492753623188406
A008,哈药六厂,XHS,POI,126.685324,45.771216,manual_whitelist,A,reviewed,3,628,2654,2018,201,2990,1883,1048,99,99,0.045,0.015,0.015,0.025,0.025,0,0.0,0.0,0.0
A009,防洪纪念塔,XHS,POI,126.615903,45.777956,manual_whitelist,A,reviewed,3,1115,1854,1605,222,1911,1251,1710,99,99,0.005,0.005,0.005,0.005,0.005,362,0.7176308539944903,0.35399449035812675,0.0013774104683195593
A010,极地公园,XHS,POI,126.586479,45.785251,manual_whitelist,A,reviewed,3,267,587,563,123,552,219,513,94,94,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0,0.0,0.0,0.0
A011,东北虎林园,XHS,POI,126.589457,45.819457,manual_whitelist,A,reviewed,3,67,512,217,42,384,116,241,59,59,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0,0.0,0.0,0.0
A012,哈尔滨站,XHS,POI,126.63269,45.761621,manual_whitelist,A,reviewed,3,1560,3054,2803,319,3070,2236,2309,57,57,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0,0.0,0.0,0.0
A013,伏尔加庄园,XHS,POI,126.896381,45.670668,manual_whitelist,A,reviewed,3,2,28,8,6,32,3,11,54,54,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0,0.0,0.0,0.0
A014,中东铁路桥,XHS,POI,126.626354,45.787358,manual_whitelist,A,reviewed,3,803,1577,1282,169,1724,1132,1240,46,46,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0,0.0,0.0,0.0
A015,果戈里大街,XHS,POI,126.650326,45.757621,manual_whitelist,A,reviewed,3,1263,2817,2678,307,2876,2065,1654,43,43,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.011363636363636364,0.011363636363636364,332,0.1996996996996997,0.3948948948948949,0.0015015015015015015
A016,哈西站,XHS,POI,126.577304,45.707228,manual_whitelist,A,reviewed,3,646,1619,1139,137,1783,609,767,32,32,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0,0.0,0.0,0.0
A017,师大夜市,XHS,POI,126.625032,45.729273,manual_whitelist,A,reviewed,3,728,2607,1732,220,2678,1689,972,30,30,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0,0.0,0.0,0.0
A018,群力,XHS,POI,126.560039,45.727206,manual_whitelist,A,reviewed,3,285,2128,1630,166,2334,1123,787,29,29,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0.0,0.0,0.0
A019,龙塔,XHS,POI,126.680189,45.748517,manual_whitelist,A,reviewed,3,780,3204,2626,223,3206,2132,1141,26,26,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0,0.0,0.0,0.0
A020,哈尔滨工业大学,XHS,POI,126.633441,45.749367,manual_whitelist,A,reviewed,3,1351,2774,2601,294,2860,2303,1773,20,20,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0,0.0,0.0,0.0
A001,中央大街,XHS,POI,126.618916,45.774014,manual_whitelist,A,reviewed,5,1863,4794,4074,521,5068,3462,2846,501,501,0.02091633466135458,0.00099601593625498,0.0049800796812749,0.010956175298804782,0.00099601593625498,2094,0.42935560859188543,0.4026252983293556,0.00023866348448687351
A002,圣索菲亚教堂,XHS,POI,126.626028,45.76984,manual_whitelist,A,reviewed,5,1966,5290,4554,541,5688,3842,3012,321,321,0.023291925465838508,0.007763975155279503,0.013975155279503106,0.007763975155279503,0.007763975155279503,0,0.0,0.0,0.0
A003,冰雪大世界,XHS,POI,126.567694,45.778569,manual_whitelist,A,reviewed,5,1075,2856,2352,300,2632,1605,1871,288,288,0.015570934256055362,0.0017301038062283738,0.0017301038062283738,0.012110726643598616,0.005190311418685121,347,0.6652298850574713,0.38362068965517243,0.0014367816091954023
A004,松花江,XHS,POI,126.56,45.78,manual_whitelist,A,reviewed,5,812,2503,2152,258,2329,1234,1586,245,245,0.018292682926829267,0.006097560975609756,0.01016260162601626,0.01016260162601626,0.006097560975609756,0,0.0,0.0,0.0
A005,太阳岛,XHS,POI,126.53505,45.802981,manual_whitelist,A,reviewed,5,263,1285,960,133,1306,451,636,243,243,0.02663934426229508,0.0020491803278688526,0.010245901639344262,0.0020491803278688526,0.0020491803278688526,363,0.6524725274725275,0.364010989010989,0.0013736263736263737
A006,中华巴洛克风情街,XHS,POI,126.638089,45.780731,manual_whitelist,A,reviewed,5,1869,5161,4127,475,5343,3413,2886,188,188,0.018518518518518517,0.007936507936507936,0.013227513227513227,0.007936507936507936,0.007936507936507936,1058,0.1619452313503305,0.3810198300283286,0.00047214353163361664
A007,红专街早市,XHS,POI,126.614854,45.772316,manual_whitelist,A,reviewed,5,1851,4710,4061,519,5024,3493,2836,160,160,0.021739130434782608,0.003105590062111801,0.003105590062111801,0.021739130434782608,0.003105590062111801,344,0.0014492753623188406,0.43043478260869567,0.0014492753623188406
A008,哈药六厂,XHS,POI,126.685324,45.771216,manual_whitelist,A,reviewed,5,1679,5623,4423,442,6502,3752,2527,99,99,0.045,0.015,0.015,0.025,0.025,0,0.0,0.0,0.0
A009,防洪纪念塔,XHS,POI,126.615903,45.777956,manual_whitelist,A,reviewed,5,1776,4356,3763,481,4655,3167,2738,99,99,0.005,0.005,0.005,0.005,0.005,362,0.7176308539944903,0.35399449035812675,0.0013774104683195593
A010,极地公园,XHS,POI,126.586479,45.785251,manual_whitelist,A,reviewed,5,1285,2817,2305,320,2732,1750,2208,94,94,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.005263157894736842,0,0.0,0.0,0.0
A011,东北虎林园,XHS,POI,126.589457,45.819457,manual_whitelist,A,reviewed,5,170,1335,781,125,1271,372,730,59,59,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0,0.0,0.0,0.0
A012,哈尔滨站,XHS,POI,126.63269,45.761621,manual_whitelist,A,reviewed,5,2242,6396,5309,619,6724,4419,3352,57,57,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0,0.0,0.0,0.0
A013,伏尔加庄园,XHS,POI,126.896381,45.670668,manual_whitelist,A,reviewed,5,2,36,42,10,78,9,12,54,54,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0,0.0,0.0,0.0
A014,中东铁路桥,XHS,POI,126.626354,45.787358,manual_whitelist,A,reviewed,5,1677,4296,3395,432,4484,2696,2645,46,46,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0,0.0,0.0,0.0
A015,果戈里大街,XHS,POI,126.650326,45.757621,manual_whitelist,A,reviewed,5,2470,7521,5999,610,7993,5135,3720,43,43,0.03409090909090909,0.011363636363636364,0.03409090909090909,0.011363636363636364,0.011363636363636364,332,0.1996996996996997,0.3948948948948949,0.0015015015015015015
A016,哈西站,XHS,POI,126.577304,45.707228,manual_whitelist,A,reviewed,5,1198,3913,2718,280,4155,2017,1564,32,32,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0,0.0,0.0,0.0
A017,师大夜市,XHS,POI,126.625032,45.729273,manual_whitelist,A,reviewed,5,2591,6670,5112,613,6753,4197,3238,30,30,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0,0.0,0.0,0.0
A018,群力,XHS,POI,126.560039,45.727206,manual_whitelist,A,reviewed,5,1143,3910,3009,325,4423,2227,1811,29,29,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0.0,0.0,0.0
A019,龙塔,XHS,POI,126.680189,45.748517,manual_whitelist,A,reviewed,5,1811,6550,4930,507,7166,4344,2588,26,26,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0,0.0,0.0,0.0
A020,哈尔滨工业大学,XHS,POI,126.633441,45.749367,manual_whitelist,A,reviewed,5,2408,7073,5770,631,7211,4804,3536,20,20,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0,0.0,0.0,0.0
